id,configurationId,bathrooms,balcony,furnishedType,lift,listingType,carpetArea,price,createdAt,updatedAt
cmf5r6hv20005vxpt3yfnl2qp,cmf5r6hv20004vxpt0l657blu,12,3,UNFURNISHED,FALSE,Sell,972,120000000,42:08.7,42:08.7
cmf5r6hv20006vxptcx3lmm05,cmf5r6hv20004vxpt0l657blu,3,2,UNFURNISHED,FALSE,Sell,188.73,210000000,42:08.7,42:08.7
cmfawdrnq000bvc188680qjyx,cmfawdrnq000avc18qcvaxzi9,1,1,UNFURNISHED,FALSE,Sell,426.57,13000000,06:37.0,06:37.0
cmfawdrnr000cvc1897rpsu1b,cmfawdrnq000avc18qcvaxzi9,1,1,UNFURNISHED,FALSE,Sell,460.8,15000000,06:37.0,06:37.0
cmfawdrnr000evc18jwvlery4,cmfawdrnr000dvc188hupv4yy,3,2,UNFURNISHED,FALSE,Sell,893.08,29000000,06:37.0,06:37.0
cmfawdrnr000fvc18af74elnu,cmfawdrnr000dvc188hupv4yy,3,2,UNFURNISHED,FALSE,Sell,918.27,29000000,06:37.0,06:37.0
cmfawdrns000hvc18t3u6jukg,cmfawdrnr000gvc18iunqlv98,2,2,UNFURNISHED,FALSE,Sell,804.6,26000000,06:37.0,06:37.0
cmfawdrns000ivc181n6bq8cm,cmfawdrnr000gvc18iunqlv98,2,2,UNFURNISHED,FALSE,Sell,1036.67,33000000,06:37.0,06:37.0
cmfaxq2or0024vc18pjebowp8,cmfaxq2or0023vc18biodrtiy,1,1,UNFURNISHED,FALSE,Sell,443.37,13000000,44:10.8,44:10.8
cmfaxq2os0026vc18v92cqw3r,cmfaxq2os0025vc18y99ryrns,2,2,UNFURNISHED,FALSE,Sell,644.11,19000000,44:10.8,44:10.8
cmfaxq2os0028vc18z4otsg17,cmfaxq2os0027vc1861948lln,3,2,UNFURNISHED,FALSE,Sell,798.57,23000000,44:10.8,44:10.8
cmfaycwy9003avc18vwkotg8q,cmfaycwy80039vc18b1epdodx,1,1,UNFURNISHED,FALSE,Sell,379,850000,01:56.4,01:56.4
cmfaycwy9003bvc189xf97r7w,cmfaycwy80039vc18b1epdodx,1,1,UNFURNISHED,FALSE,Sell,354,790000,01:56.4,01:56.4
cmfaycwy9003cvc181yx3c5gf,cmfaycwy80039vc18b1epdodx,1,0,UNFURNISHED,FALSE,Sell,391,880000,01:56.4,01:56.4
cmfaycwy9003evc186uhex90a,cmfaycwy9003dvc1853ic14wb,2,2,UNFURNISHED,FALSE,Sell,536,12000000,01:56.4,01:56.4
cmfaycwy9003fvc1859euhuy7,cmfaycwy9003dvc1853ic14wb,2,2,UNFURNISHED,FALSE,Sell,650,14000000,01:56.4,01:56.4
cmfc6pq1m0005vca07z1oktrg,cmfc6pq1m0004vca0cdihsx99,1,1,UNFURNISHED,FALSE,Sell,457.57,12000000,43:37.1,43:37.1
cmfc6pq1m0007vca0wei4jsgs,cmfc6pq1m0006vca04kqz1wsp,2,2,UNFURNISHED,FALSE,Sell,652.83,17000000,43:37.1,43:37.1
cmfc6pq1m0008vca0hsbdneqc,cmfc6pq1m0006vca04kqz1wsp,2,2,UNFURNISHED,FALSE,Sell,728.5,19000000,43:37.1,43:37.1
cmfc6pq1n000avca0g8zz0fur,cmfc6pq1m0009vca0tmv501em,3,2,UNFURNISHED,FALSE,Sell,1240.22,33000000,43:37.1,43:37.1
cmfc79ip7001gvca0u52qiras,cmfc79ip7001fvca0dhfqinl1,1,0,UNFURNISHED,FALSE,Sell,416.56,9890000,59:00.7,59:00.7
cmfc79ip7001hvca0xz5kv4ld,cmfc79ip7001fvca0dhfqinl1,1,1,UNFURNISHED,FALSE,Sell,438.63,14000000,59:00.7,59:00.7
cmfc79ip8001jvca0r5k1gc5d,cmfc79ip7001ivca0pjtsq247,2,2,UNFURNISHED,FALSE,Sell,653.15,15000000,59:00.7,59:00.7
cmfc80zv3002hvca0yghwoxui,cmfc80zv3002gvca08q08d09k,1,1,UNFURNISHED,FALSE,Sell,239,5975000,20:22.7,20:22.7
cmfc80zv4002ivca0pti2hjp8,cmfc80zv3002gvca08q08d09k,1,1,UNFURNISHED,FALSE,Sell,309,7720000,20:22.7,20:22.7
cmfc80zv4002jvca0kkwyzbb6,cmfc80zv3002gvca08q08d09k,0,0,UNFURNISHED,FALSE,Sell,634,15000000,20:22.7,20:22.7
cmfc8w1ea003hvca0yj9692xd,cmfc8w1e9003gvca0vfq51lrw,2,2,UNFURNISHED,FALSE,Sell,637.76,8900000,44:31.0,44:31.0
cmfc8w1ea003ivca01s66pru9,cmfc8w1e9003gvca0vfq51lrw,2,2,UNFURNISHED,FALSE,Sell,783.83,10000000,44:31.0,44:31.0
cmfc8w1ea003jvca011hgz43s,cmfc8w1e9003gvca0vfq51lrw,2,0,UNFURNISHED,FALSE,Sell,719.46,10000000,44:31.0,44:31.0
cmfc8w1ea003lvca01p19m6o0,cmfc8w1ea003kvca0antflsgo,3,2,UNFURNISHED,FALSE,Sell,1090.59,15000000,44:31.0,44:31.0
